Filename,coefficient8,coefficient7,coefficient6,coefficient5,coefficient4,coefficient3,coefficient2,coefficient1
p10p5n6n10p10n7p9p8_0.png,10,5,-6,-10,10,-7,9,8
p1p10p7n7p5n7p0n6_0.png,1,10,7,-7,5,-7,0,-6
n4p0n2p6n9p6n6p5_0.png,-4,0,-2,6,-9,6,-6,5
n5n5p9p2p7p10n7p6_0.png,-5,-5,9,2,7,10,-7,6
n10p6p10n1n8p8p6n5_0.png,-10,6,10,-1,-8,8,6,-5
p1p2n10p7p9p8p5p7_0.png,1,2,-10,7,9,8,5,7
n1p8p4p3n6n1n4n8_0.png,-1,8,4,3,-6,-1,-4,-8
p0n4p3n5p1p0p8n9_0.png,0,-4,3,-5,1,0,8,-9
p3n1p9n9n9n7n1n6_0.png,3,-1,9,-9,-9,-7,-1,-6
n10p5n3n5p6n8n9p4_0.png,-10,5,-3,-5,6,-8,-9,4
n8n3n3p0p8p1n9n10_0.png,-8,-3,-3,0,8,1,-9,-10
n6n3p8p5n1p0p2p10_0.png,-6,-3,8,5,-1,0,2,10
p10n4n5n8p1n1p3n1_0.png,10,-4,-5,-8,1,-1,3,-1
p7n2p2n4n8p8n7n2_0.png,7,-2,2,-4,-8,8,-7,-2
n5n4n7n7n4n7p4n3_0.png,-5,-4,-7,-7,-4,-7,4,-3
p6p5n3n10p6n6n9n4_0.png,6,5,-3,-10,6,-6,-9,-4
p7p0p2n1n1n4p7p0_0.png,7,0,2,-1,-1,-4,7,0
n2n3n4p4p10p9n3n7_0.png,-2,-3,-4,4,10,9,-3,-7
p4n1p8n4p7p1p10p9_0.png,4,-1,8,-4,7,1,10,9
n9p3n8n2n8n4n1n5_0.png,-9,3,-8,-2,-8,-4,-1,-5
n8n5p2p4n1n5n8n1_0.png,-8,-5,2,4,-1,-5,-8,-1
p3n6p1p6p7p6p8n4_0.png,3,-6,1,6,7,6,8,-4
n3p1p1p1p9p9n9p4_0.png,-3,1,1,1,9,9,-9,4
n6n3p9n3p10p0p6p4_0.png,-6,-3,9,-3,10,0,6,4
n5p7p5n2p3p8n9n8_0.png,-5,7,5,-2,3,8,-9,-8
p2n9n8p3n6p6n9n5_0.png,2,-9,-8,3,-6,6,-9,-5
p4p3n5n10p1n9n2n8_0.png,4,3,-5,-10,1,-9,-2,-8
p1p8n2n5n2p1p1n4_0.png,1,8,-2,-5,-2,1,1,-4
p9p3p9n2p7n3p8n1_0.png,9,3,9,-2,7,-3,8,-1
p4n3n8p0n5n6n3p2_0.png,4,-3,-8,0,-5,-6,-3,2
p2p1p7p10p6p7n5n6_0.png,2,1,7,10,6,7,-5,-6
p4p7p7p8p5p3p10p1_0.png,4,7,7,8,5,3,10,1
p1n1n4n10n8p2n7n5_0.png,1,-1,-4,-10,-8,2,-7,-5
p5n10n10p1n1n9p1p3_0.png,5,-10,-10,1,-1,-9,1,3
n10p4p8n7n1n3p2p2_0.png,-10,4,8,-7,-1,-3,2,2
n4p0n6n7p10p1n7p6_0.png,-4,0,-6,-7,10,1,-7,6
n4p8p1n6n10p9n5p10_0.png,-4,8,1,-6,-10,9,-5,10
p0n3n2p10p4n4p4n10_0.png,0,-3,-2,10,4,-4,4,-10
p8p9n10p0n10p0p9p3_0.png,8,9,-10,0,-10,0,9,3
p1p9n2p0p3p3p4p7_0.png,1,9,-2,0,3,3,4,7
p8n3n9n10n3n9n4n1_0.png,8,-3,-9,-10,-3,-9,-4,-1
p5n7n5n1p0p1p4p9_0.png,5,-7,-5,-1,0,1,4,9
n6n9p1p10n8p8n2p4_0.png,-6,-9,1,10,-8,8,-2,4
n7n1p5n3p3n7n4n2_0.png,-7,-1,5,-3,3,-7,-4,-2
n7p10p6n4n6p4n7p8_0.png,-7,10,6,-4,-6,4,-7,8
n3n6n3p1n7n7p5p2_0.png,-3,-6,-3,1,-7,-7,5,2
p10p0p1p7n1p10n10p6_0.png,10,0,1,7,-1,10,-10,6
p7p3n1n1n7p8n2n5_0.png,7,3,-1,-1,-7,8,-2,-5
p3p7n8p5p6p5p10n9_0.png,3,7,-8,5,6,5,10,-9
n3p5p6p9n1p6n10n2_0.png,-3,5,6,9,-1,6,-10,-2
n3n10n10p1n9n2p2p7_0.png,-3,-10,-10,1,-9,-2,2,7
n5n3p5n3n4n8n9p4_0.png,-5,-3,5,-3,-4,-8,-9,4
p0p1n7p9p1p7n6p4_0.png,0,1,-7,9,1,7,-6,4
p3n2p9p6n7n4n10p5_0.png,3,-2,9,6,-7,-4,-10,5
p7n8n6p6p3p0n5n2_0.png,7,-8,-6,6,3,0,-5,-2
p8n10p8n1p6p0p4p9_0.png,8,-10,8,-1,6,0,4,9
n2n4n4p3n6p9p9n5_0.png,-2,-4,-4,3,-6,9,9,-5
p9p2p0p0n10n4p0p5_0.png,9,2,0,0,-10,-4,0,5
n10p0p0n2p8p8p9p9_0.png,-10,0,0,-2,8,8,9,9
n5n2n1p6n7p9n9n6_0.png,-5,-2,-1,6,-7,9,-9,-6
p4p9p9n6p5n1p6p2_0.png,4,9,9,-6,5,-1,6,2
p5p8p6n6p5p5n7p3_0.png,5,8,6,-6,5,5,-7,3
n7p2n1n10p9p7p3p6_0.png,-7,2,-1,-10,9,7,3,6
n4p1p7n8p2p6p3p1_0.png,-4,1,7,-8,2,6,3,1
n3n4p1p9p7n1n6p0_0.png,-3,-4,1,9,7,-1,-6,0
n10n9p7n9p0n5n7n8_0.png,-10,-9,7,-9,0,-5,-7,-8
n6n8n5n10p7p5p1n6_0.png,-6,-8,-5,-10,7,5,1,-6
n9p6p10p4n3n6p9p7_0.png,-9,6,10,4,-3,-6,9,7
n3p6n2p3p1n8p7p0_0.png,-3,6,-2,3,1,-8,7,0
p2n4p8n1n6p7p4n3_0.png,2,-4,8,-1,-6,7,4,-3
n10n5n8n4p9n9p8n9_0.png,-10,-5,-8,-4,9,-9,8,-9
n10p1p3n5p2p9p1n7_0.png,-10,1,3,-5,2,9,1,-7
p3p9n8p6p7p0p6p4_0.png,3,9,-8,6,7,0,6,4
n9n4p8n4p7n6n8n10_0.png,-9,-4,8,-4,7,-6,-8,-10
n9p5p10n1n1p3p10p2_0.png,-9,5,10,-1,-1,3,10,2
n6n4n4n1n1n7n1p8_0.png,-6,-4,-4,-1,-1,-7,-1,8
n6n2p3p7p2n2p4n4_0.png,-6,-2,3,7,2,-2,4,-4
p6p8p0p2p8p9p4n7_0.png,6,8,0,2,8,9,4,-7
n7p2n5n1n7n1p10p0_0.png,-7,2,-5,-1,-7,-1,10,0
n10p7n8p6n9p9n6p6_0.png,-10,7,-8,6,-9,9,-6,6
n7p10n3p9n4p7n4n6_0.png,-7,10,-3,9,-4,7,-4,-6
n5n9p3p8p8n9p3p1_0.png,-5,-9,3,8,8,-9,3,1
n2p8n1p8n8n2p8n8_0.png,-2,8,-1,8,-8,-2,8,-8
n9n7p2n4p6p0n8n3_0.png,-9,-7,2,-4,6,0,-8,-3
p7n3n10p0p4n6p8p9_0.png,7,-3,-10,0,4,-6,8,9
n5p7p7n4p7n3n4p2_0.png,-5,7,7,-4,7,-3,-4,2
p4p4p10p8p3p1n4n2_0.png,4,4,10,8,3,1,-4,-2
n3n2p9n9n1p4n4n1_0.png,-3,-2,9,-9,-1,4,-4,-1
n3n4n1n6p7p1n4p8_0.png,-3,-4,-1,-6,7,1,-4,8
p4p6p4p1p5n10n8n5_0.png,4,6,4,1,5,-10,-8,-5
n5p10p1p1p2n10n10p7_0.png,-5,10,1,1,2,-10,-10,7
p7p3p8n9p3p3n1p3_0.png,7,3,8,-9,3,3,-1,3
n3p5p1n8n8p6n4p7_0.png,-3,5,1,-8,-8,6,-4,7
p4n8p2p10n10p0p5n7_0.png,4,-8,2,10,-10,0,5,-7
p3p4n2p0n5n1p8p0_0.png,3,4,-2,0,-5,-1,8,0
p2n9p1n7n5n10n3n3_0.png,2,-9,1,-7,-5,-10,-3,-3
p2p7n4p9p10n10n5p7_0.png,2,7,-4,9,10,-10,-5,7
p8n1p0n4p9n8p10p9_0.png,8,-1,0,-4,9,-8,10,9
p0p8p5n9n2n5p2p4_0.png,0,8,5,-9,-2,-5,2,4
p6p1n8p7n8p9n10p7_0.png,6,1,-8,7,-8,9,-10,7
n6p1p8p6n10p3n6p3_0.png,-6,1,8,6,-10,3,-6,3
p1n8p4p5p6p1n8p10_0.png,1,-8,4,5,6,1,-8,10
n4p1n5n6n6n4n10p7_0.png,-4,1,-5,-6,-6,-4,-10,7
p8p10n5p4p3n6n1n3_0.png,8,10,-5,4,3,-6,-1,-3
n7p2n5p2n6p6p4p10_0.png,-7,2,-5,2,-6,6,4,10
n9n2p1n9n8n4n6n7_0.png,-9,-2,1,-9,-8,-4,-6,-7
n10p5p6n5n6p9n9p3_0.png,-10,5,6,-5,-6,9,-9,3
n10p7n5p1n9p3p10p9_0.png,-10,7,-5,1,-9,3,10,9
