Filename,coefficient8,coefficient7,coefficient6,coefficient5,coefficient4,coefficient3,coefficient2,coefficient1
p3n2p9p6p7n7p4n4_0.png,3,-2,9,6,7,-7,4,-4
p6p9n8n8p9p7p8p0_0.png,6,9,-8,-8,9,7,8,0
p2n1p5p0p10n2p6n5_0.png,2,-1,5,0,10,-2,6,-5
p8p0n10n4p6n10p2n8_0.png,8,0,-10,-4,6,-10,2,-8
p2p5p4n4p0n10n4n3_0.png,2,5,4,-4,0,-10,-4,-3
n5n10n1p2n3p8n2n5_0.png,-5,-10,-1,2,-3,8,-2,-5
n3p5n10p0n2p3n9n10_0.png,-3,5,-10,0,-2,3,-9,-10
p9p10n2n8n5p4p2p7_0.png,9,10,-2,-8,-5,4,2,7
p7p7n2n5p1p0p3p8_0.png,7,7,-2,-5,1,0,3,8
n5n10n5p3p2n2n5n6_0.png,-5,-10,-5,3,2,-2,-5,-6
n7n6n6n10p4p4p7n7_0.png,-7,-6,-6,-10,4,4,7,-7
n6p2n10p10n7n7n6p8_0.png,-6,2,-10,10,-7,-7,-6,8
p6p5p5n10p6p7p9n6_0.png,6,5,5,-10,6,7,9,-6
n10p10n9p5p7p0n9n6_0.png,-10,10,-9,5,7,0,-9,-6
n9n10p9p1n3n2p2p6_0.png,-9,-10,9,1,-3,-2,2,6
p0n2p2n7p8n8n6n3_0.png,0,-2,2,-7,8,-8,-6,-3
p8p7n9p10p9p9n7p4_0.png,8,7,-9,10,9,9,-7,4
n7p8p2n2p10p2p8n1_0.png,-7,8,2,-2,10,2,8,-1
p9n2p8n3p4p0p8p1_0.png,9,-2,8,-3,4,0,8,1
p2p9p7n10n4n1p7n4_0.png,2,9,7,-10,-4,-1,7,-4
n9p4n8n8p2p3p0p10_0.png,-9,4,-8,-8,2,3,0,10
n8n5p8p7n3p10p6p2_0.png,-8,-5,8,7,-3,10,6,2
n3p6p7n8n5p9n8p1_0.png,-3,6,7,-8,-5,9,-8,1
n10n9n2n9n6p5p9n1_0.png,-10,-9,-2,-9,-6,5,9,-1
p2p1p9n5n9n1n10p9_0.png,2,1,9,-5,-9,-1,-10,9
p1n1n10p3p10p5p5n2_0.png,1,-1,-10,3,10,5,5,-2
p0p4p7n10p2n9p5n9_0.png,0,4,7,-10,2,-9,5,-9
n7n1p2n3n7p7n2p4_0.png,-7,-1,2,-3,-7,7,-2,4
n4p7p1n10p10n10n10n3_0.png,-4,7,1,-10,10,-10,-10,-3
p4n8p8p5n2p7p3p5_0.png,4,-8,8,5,-2,7,3,5
n2n7p3p7n3n1n2p7_0.png,-2,-7,3,7,-3,-1,-2,7
n2p0p2n6n9n8n2p2_0.png,-2,0,2,-6,-9,-8,-2,2
n9p7n3n6n1p1n4p0_0.png,-9,7,-3,-6,-1,1,-4,0
p4n2n6n5p5p1p10p1_0.png,4,-2,-6,-5,5,1,10,1
p3p7p0n2n1n10p3n8_0.png,3,7,0,-2,-1,-10,3,-8
p1p7n2n3n10n1p10p4_0.png,1,7,-2,-3,-10,-1,10,4
p3n2p4p1p6p0p7p4_0.png,3,-2,4,1,6,0,7,4
p7p2n2p7p4p0p0p7_0.png,7,2,-2,7,4,0,0,7
p10n3n9n3n7n1n10n8_0.png,10,-3,-9,-3,-7,-1,-10,-8
p8n6p4n2n6n8p0n5_0.png,8,-6,4,-2,-6,-8,0,-5
n10p1p9p2n6n5p3p9_0.png,-10,1,9,2,-6,-5,3,9
n8n6p7n9n3n4n3n3_0.png,-8,-6,7,-9,-3,-4,-3,-3
p9n1p9p2p7p9n1n8_0.png,9,-1,9,2,7,9,-1,-8
n2n4p2p9p0n4p9p6_0.png,-2,-4,2,9,0,-4,9,6
p4p4n1n2p4p2p1n7_0.png,4,4,-1,-2,4,2,1,-7
p6n2p5n5p6p8p8n6_0.png,6,-2,5,-5,6,8,8,-6
p6p5n8p7n9p5p3n7_0.png,6,5,-8,7,-9,5,3,-7
p2n9p9p10n2n2p8n2_0.png,2,-9,9,10,-2,-2,8,-2
n5p6n7p0n10p0n5p10_0.png,-5,6,-7,0,-10,0,-5,10
n8p8p10p8p1n2p5p3_0.png,-8,8,10,8,1,-2,5,3
n2p9p0p7n5n1n3p1_0.png,-2,9,0,7,-5,-1,-3,1
p7n9n2p7n7p2p3p7_0.png,7,-9,-2,7,-7,2,3,7
n1p5n8n8p1n9p3p3_0.png,-1,5,-8,-8,1,-9,3,3
p10p4n8p9n10n10p0p1_0.png,10,4,-8,9,-10,-10,0,1
p4n9p2n1p9p8n1n5_0.png,4,-9,2,-1,9,8,-1,-5
p8p9p7p0n1p9n10n5_0.png,8,9,7,0,-1,9,-10,-5
n1n8n1p6p5n6p1p1_0.png,-1,-8,-1,6,5,-6,1,1
p3p7p3n4n6n5n4p3_0.png,3,7,3,-4,-6,-5,-4,3
p1p4n2p0n8n7p8n2_0.png,1,4,-2,0,-8,-7,8,-2
p1p7n9p9p5n3n8p10_0.png,1,7,-9,9,5,-3,-8,10
p7n10p3n8n5n6n3p8_0.png,7,-10,3,-8,-5,-6,-3,8
n4n9n9n3n4p10p4n7_0.png,-4,-9,-9,-3,-4,10,4,-7
